date,open,high,low,volume,name,daily_return_in_perc,rsi,obv,close
02-01-2015,111.39,111.44,107.35,53204626,AAPL,-0.951259286,44.38174681,871476730,109.33
05-01-2015,108.29,108.65,105.41,64285491,AAPL,-2.81715906,41.93324061,807191239,106.25
06-01-2015,106.54,107.43,104.63,65797116,AAPL,0.009411765,45.10585305,872988355,106.26
07-01-2015,107.2,108.2,106.695,40105934,AAPL,1.402220967,52.50186706,913094289,107.75
08-01-2015,109.23,112.15,108.7,59364547,AAPL,3.842227378,55.75139147,972458836,111.89
09-01-2015,112.67,113.25,110.21,53699527,AAPL,0.10724819,48.26464208,1026158363,112.01
12-01-2015,112.6,112.63,108.8,49650790,AAPL,-2.464065708,43.77766847,976507573,109.25
13-01-2015,111.43,112.8,108.91,67091928,AAPL,0.887871854,43.24726912,1043599501,110.22
14-01-2015,109.04,110.49,108.5,48956588,AAPL,-0.38105607,43.20436508,994642913,109.8
15-01-2015,110,110.06,106.66,60013996,AAPL,-2.714025501,38.52277753,934628917,106.82
16-01-2015,107.03,107.58,105.2,78513345,AAPL,-0.777008051,31.36067102,856115572,105.99
20-01-2015,107.84,108.9667,106.5,49899907,AAPL,2.57571469,39.23683119,906015479,108.72
21-01-2015,108.95,111.06,108.27,48575897,AAPL,0.763428992,43.69426752,954591376,109.55
22-01-2015,110.26,112.47,109.72,53796409,AAPL,2.601551803,54.16323166,1008387785,112.4
23-01-2015,112.3,113.75,111.53,46464828,AAPL,0.516014235,57.67129046,1054852613,112.98
26-01-2015,113.74,114.3626,112.8,55614979,AAPL,0.106213489,66.44263082,1110467592,113.1
27-01-2015,112.42,112.48,109.03,95568749,AAPL,-3.50132626,55.81113801,1014898843,109.14
28-01-2015,117.625,118.12,115.31,146477063,AAPL,5.653289353,62.83095723,1161375906,115.31
29-01-2015,116.32,119.19,115.56,84436432,AAPL,3.113346631,62.12383258,1245812338,118.9
30-01-2015,118.4,120,116.85,83745461,AAPL,-1.463414634,58.43432689,1162066877,117.16
02-02-2015,118.05,119.17,116.08,62739100,AAPL,1.254694435,66.03967168,1224805977,118.63
03-02-2015,118.5,119.09,117.61,51915749,AAPL,0.016859142,64.89925769,1276721726,118.65
04-02-2015,118.5,120.51,118.309,70149743,AAPL,0.766961652,66.9562196,1346871469,119.56
05-02-2015,120.02,120.23,119.25,42246245,AAPL,0.317832051,75.05729565,1389117714,119.94
06-02-2015,120.02,120.25,118.45,43706567,AAPL,-0.842087711,74.5447648,1345411147,118.93
09-02-2015,118.55,119.84,118.43,38889797,AAPL,0.664256285,72.52252252,1384300944,119.72
10-02-2015,120.17,122.15,120.16,62008506,AAPL,1.921149348,74.0826574,1446309450,122.02
11-02-2015,122.77,124.92,122.5,73561797,AAPL,2.343878053,74.09266409,1519871247,124.88
12-02-2015,126.06,127.48,125.57,74474466,AAPL,1.265214606,75.05576208,1594345713,126.46
13-02-2015,127.28,127.28,125.65,54272219,AAPL,0.490273604,75.51094891,1648617932,127.08
17-02-2015,127.49,128.88,126.92,63152405,AAPL,0.590179415,88.63166598,1711770337,127.83
18-02-2015,127.625,128.78,127.45,44891737,AAPL,0.692325745,85.45358371,1756662074,128.715
19-02-2015,128.48,129.03,128.33,37362381,AAPL,-0.20588121,80.64826701,1719299693,128.45
20-02-2015,128.62,129.5,128.05,48948419,AAPL,0.813546127,91.43432986,1768248112,129.495
23-02-2015,130.02,133,129.66,70974110,AAPL,2.706668211,92.46453901,1839222222,133
24-02-2015,132.94,133.6,131.17,69228130,AAPL,-0.62406015,88.12746757,1769994092,132.17
25-02-2015,131.56,131.6,128.15,74711746,AAPL,-2.557312552,72.84653465,1695282346,128.79
26-02-2015,128.785,130.87,126.61,91287529,AAPL,1.261743924,74.42294241,1786569875,130.415
27-02-2015,130,130.57,128.24,62014847,AAPL,-1.499060691,71.28182224,1724555028,128.46
02-03-2015,129.25,130.28,128.3,48096663,AAPL,0.490425035,71.07512371,1772651691,129.09
03-03-2015,128.96,129.52,128.09,37816283,AAPL,0.209156403,68.16831683,1810467974,129.36
04-03-2015,129.1,129.56,128.32,31666340,AAPL,-0.63388992,60.07709251,1778801634,128.54
05-03-2015,128.58,128.75,125.76,56517146,AAPL,-1.657071729,49.86638161,1722284488,126.41
06-03-2015,128.4,129.37,126.26,72842060,AAPL,0.150304565,48.68708972,1795126548,126.6
09-03-2015,127.96,129.57,125.06,88528487,AAPL,0.426540284,48.09075816,1883655035,127.14
10-03-2015,126.41,127.22,123.8,68856582,AAPL,-2.068585811,39.3893515,1814798453,124.51
11-03-2015,124.75,124.77,122.11,68938974,AAPL,-1.823146735,35.76993584,1745859479,122.24
12-03-2015,122.31,124.9,121.63,48362719,AAPL,1.807918848,39.02545138,1794222198,124.45
13-03-2015,124.4,125.3951,122.58,51827283,AAPL,-0.691040579,26.86823992,1742394915,123.59
16-03-2015,123.88,124.95,122.87,35874300,AAPL,1.100412655,32.7024437,1778269215,124.95
17-03-2015,125.9,127.32,125.65,51023104,AAPL,1.672669068,45.53115424,1829292319,127.04
18-03-2015,127,129.16,126.37,65270945,AAPL,1.125629723,44.98323446,1894563264,128.47
19-03-2015,128.75,129.2451,127.4,45809490,AAPL,-0.758932046,47.37842977,1848753774,127.495
20-03-2015,128.25,128.4,125.16,68695136,AAPL,-1.251029452,41.76561693,1780058638,125.9
23-03-2015,127.12,127.85,126.52,37709674,AAPL,1.04050834,44.73297403,1817768312,127.21
24-03-2015,127.23,128.04,126.56,32842304,AAPL,-0.408772895,45.40029836,1784926008,126.69
25-03-2015,126.54,126.82,123.38,51655177,AAPL,-2.612676612,42.88398309,1733270831,123.38
26-03-2015,122.76,124.88,122.6,47572869,AAPL,0.697033555,44.62659381,1780843700,124.24
27-03-2015,124.57,124.7,122.91,39546151,AAPL,-0.796844816,41.32083891,1741297549,123.25
30-03-2015,124.05,126.4,124,47099670,AAPL,2.531440162,54.06113537,1788397219,126.37
31-03-2015,126.09,126.49,124.355,42090553,AAPL,-1.535174488,54.85157288,1746306666,124.43
01-04-2015,124.82,125.12,123.1,40621437,AAPL,-0.144659648,49.51314508,1705685229,124.25
02-04-2015,125.03,125.56,124.19,32220131,AAPL,0.861167002,54.1686747,1737905360,125.32
06-04-2015,124.47,127.51,124.33,37193975,AAPL,1.619853176,55.6022409,1775099335,127.35
07-04-2015,127.64,128.1218,125.98,35012268,AAPL,-1.052218296,47.50846638,1740087067,126.01
08-04-2015,125.85,126.4,124.97,37329243,AAPL,-0.325371002,42.69720102,1702757824,125.6
09-04-2015,125.85,126.58,124.66,32483974,AAPL,0.76433121,47.61904762,1735241798,126.56
10-04-2015,125.95,127.21,125.26,40187953,AAPL,0.426675095,53.22927879,1775429751,127.1
13-04-2015,128.37,128.57,126.61,36365123,AAPL,-0.196695515,48.97260274,1739064628,126.85
14-04-2015,127,127.29,125.91,25524593,AAPL,-0.433582972,48.88888889,1713540035,126.3
15-04-2015,126.41,127.13,126.01,28970419,AAPL,0.380047506,61.54891304,1742510454,126.78
16-04-2015,126.28,127.1,126.11,28368987,AAPL,-0.481148446,56.66897028,1714141467,126.17
17-04-2015,125.55,126.14,124.46,51957046,AAPL,-1.125465642,55.03355705,1662184421,124.75
20-04-2015,125.57,128.12,125.17,47054310,AAPL,2.284569138,54.20369105,1709238731,127.6
21-04-2015,128.1,128.2,126.67,32435057,AAPL,-0.540752351,59.26756353,1676803674,126.91
22-04-2015,126.99,128.87,126.32,37654505,AAPL,1.347411551,64.65459423,1714458179,128.62
23-04-2015,128.3,130.42,128.14,45770902,AAPL,0.816358265,64.60711887,1760229081,129.67
24-04-2015,130.49,130.63,129.23,44525905,AAPL,0.470424925,60.87602079,1804754986,130.28
27-04-2015,132.31,133.13,131.15,96954207,AAPL,1.819158735,72.89655172,1901709193,132.65
28-04-2015,134.455,134.54,129.57,118923970,AAPL,-1.575574821,65.32756489,1782785223,130.56
29-04-2015,130.16,131.59,128.3,63386083,AAPL,-1.470588235,56.06767795,1719399140,128.64
30-04-2015,127.5,127.88,124.58,83195423,AAPL,-2.712997512,45.14683922,1636203717,125.15
01-05-2015,126.1,130.13,125.3,58512638,AAPL,3.036356372,54.44162437,1694716355,128.95
04-05-2015,129.5,130.57,128.26,50988278,AAPL,-0.193873594,55.14138817,1643728077,128.7
05-05-2015,128.15,128.4498,125.78,49271416,AAPL,-2.253302253,48.09782609,1594456661,125.8
06-05-2015,126.56,126.75,123.36,72141010,AAPL,-0.627980922,47.76407093,1522315651,125.01
07-05-2015,124.77,126.08,124.02,43940895,AAPL,0.199984001,51.02947113,1566256546,125.26
08-05-2015,126.68,127.62,126.11,55550382,AAPL,1.884081111,50.04118616,1621806928,127.62
11-05-2015,127.39,127.56,125.625,42035757,AAPL,-1.018649115,48.81478505,1579771171,126.32
12-05-2015,125.6,126.88,124.82,48160032,AAPL,-0.360196327,44.17177914,1531611139,125.865
13-05-2015,126.15,127.19,125.87,34694235,AAPL,0.115202797,41.94896612,1566305374,126.01
14-05-2015,127.41,128.95,127.16,45203456,AAPL,2.333148163,47.34636872,1611508830,128.95
15-05-2015,129.07,129.49,128.21,38208034,AAPL,-0.139588988,41.51727153,1573300796,128.77
18-05-2015,128.38,130.72,128.36,50882918,AAPL,1.102741322,49.16666667,1624183714,130.19
19-05-2015,130.69,130.88,129.64,44633240,AAPL,-0.092172978,53.50490196,1579550474,130.07
